14 91
v0 v1 13.13
v0 v2 1.95
v0 v3 2.13
v0 v4 8.93
v0 v5 19.33
v0 v6 9.86
v0 v7 15.56
v0 v8 9.12
v0 v9 1.2
v0 v10 14.53
v0 v11 1.54
v0 v12 9.82
v0 v13 19.43
v1 v2 16.54
v1 v3 14.13
v1 v4 15.32
v1 v5 16.27
v1 v6 10.21
v1 v7 2.65
v1 v8 5.45
v1 v9 14.14
v1 v10 1.61
v1 v11 1.24
v1 v12 13.45
v1 v13 9.31
v2 v3 6.24
v2 v4 14.2
v2 v5 9.93
v2 v6 8.99
v2 v7 3.96
v2 v8 13.75
v2 v9 11.25
v2 v10 4.65
v2 v11 5.66
v2 v12 11.01
v2 v13 19.04
v3 v4 5.96
v3 v5 11.0
v3 v6 18.05
v3 v7 14.66
v3 v8 2.57
v3 v9 12.72
v3 v10 3.5
v3 v11 13.85
v3 v12 7.3
v3 v13 8.65
v4 v5 9.54
v4 v6 19.51
v4 v7 10.59
v4 v8 10.17
v4 v9 7.16
v4 v10 8.56
v4 v11 2.54
v4 v12 1.92
v4 v13 15.44
v5 v6 6.71
v5 v7 6.48
v5 v8 17.47
v5 v9 6.13
v5 v10 2.15
v5 v11 12.98
v5 v12 13.39
v5 v13 9.32
v6 v7 12.16
v6 v8 1.63
v6 v9 15.49
v6 v10 4.07
v6 v11 16.55
v6 v12 6.99
v6 v13 19.29
v7 v8 18.38
v7 v9 13.69
v7 v10 18.01
v7 v11 11.91
v7 v12 2.84
v7 v13 18.31
v8 v9 12.39
v8 v10 14.01
v8 v11 6.45
v8 v12 18.16
v8 v13 1.22
v9 v10 9.72
v9 v11 18.4
v9 v12 3.59
v9 v13 17.69
v10 v11 13.56
v10 v12 14.84
v10 v13 14.45
v11 v12 17.93
v11 v13 5.7
v12 v13 5.42
