10 45
v0 v1 10.33
v0 v2 1.56
v0 v3 11.05
v0 v4 19.69
v0 v5 7.38
v0 v6 7.08
v0 v7 2.26
v0 v8 6.32
v0 v9 10.15
v1 v2 2.64
v1 v3 19.32
v1 v4 5.8
v1 v5 17.83
v1 v6 1.2
v1 v7 13.73
v1 v8 9.86
v1 v9 14.77
v2 v3 8.97
v2 v4 17.87
v2 v5 2.77
v2 v6 19.96
v2 v7 6.44
v2 v8 16.27
v2 v9 11.42
v3 v4 1.68
v3 v5 16.29
v3 v6 16.93
v3 v7 18.2
v3 v8 13.01
v3 v9 18.95
v4 v5 8.83
v4 v6 8.86
v4 v7 6.8
v4 v8 17.2
v4 v9 4.97
v5 v6 8.08
v5 v7 12.03
v5 v8 19.03
v5 v9 5.41
v6 v7 12.43
v6 v8 15.32
v6 v9 5.7
v7 v8 12.38
v7 v9 19.28
v8 v9 19.41
