15 105
v0 v1 12.08
v0 v2 12.91
v0 v3 16.97
v0 v4 14.01
v0 v5 5.25
v0 v6 19.34
v0 v7 7.98
v0 v8 3.96
v0 v9 1.36
v0 v10 8.64
v0 v11 19.46
v0 v12 15.18
v0 v13 1.91
v0 v14 8.85
v1 v2 6.32
v1 v3 17.86
v1 v4 9.49
v1 v5 18.82
v1 v6 7.1
v1 v7 2.03
v1 v8 5.61
v1 v9 5.79
v1 v10 13.83
v1 v11 17.22
v1 v12 10.59
v1 v13 2.37
v1 v14 19.05
v2 v3 1.32
v2 v4 12.19
v2 v5 2.49
v2 v6 8.36
v2 v7 15.84
v2 v8 11.26
v2 v9 9.46
v2 v10 9.25
v2 v11 6.12
v2 v12 17.0
v2 v13 6.05
v2 v14 19.02
v3 v4 2.18
v3 v5 17.0
v3 v6 6.58
v3 v7 7.8
v3 v8 6.98
v3 v9 13.25
v3 v10 13.51
v3 v11 16.24
v3 v12 5.98
v3 v13 8.1
v3 v14 8.0
v4 v5 18.44
v4 v6 13.99
v4 v7 6.68
v4 v8 3.78
v4 v9 5.09
v4 v10 2.74
v4 v11 14.5
v4 v12 18.29
v4 v13 18.83
v4 v14 3.98
v5 v6 3.45
v5 v7 4.28
v5 v8 11.38
v5 v9 14.33
v5 v10 8.4
v5 v11 4.57
v5 v12 2.01
v5 v13 17.43
v5 v14 2.54
v6 v7 18.33
v6 v8 7.42
v6 v9 12.11
v6 v10 6.96
v6 v11 13.52
v6 v12 12.54
v6 v13 6.11
v6 v14 14.4
v7 v8 15.02
v7 v9 13.76
v7 v10 14.56
v7 v11 11.59
v7 v12 16.72
v7 v13 4.35
v7 v14 2.69
v8 v9 12.81
v8 v10 6.41
v8 v11 4.85
v8 v12 8.86
v8 v13 5.33
v8 v14 18.72
v9 v10 4.27
v9 v11 12.04
v9 v12 5.35
v9 v13 17.7
v9 v14 7.27
v10 v11 10.94
v10 v12 4.29
v10 v13 5.98
v10 v14 12.73
v11 v12 2.64
v11 v13 11.02
v11 v14 3.87
v12 v13 11.42
v12 v14 10.06
v13 v14 2.24
