13 78
v0 v1 5.99
v0 v2 13.09
v0 v3 12.72
v0 v4 11.75
v0 v5 12.65
v0 v6 4.78
v0 v7 13.04
v0 v8 1.9
v0 v9 5.39
v0 v10 13.31
v0 v11 18.29
v0 v12 12.8
v1 v2 7.24
v1 v3 19.85
v1 v4 3.1
v1 v5 3.33
v1 v6 17.6
v1 v7 13.03
v1 v8 19.21
v1 v9 2.17
v1 v10 2.55
v1 v11 12.26
v1 v12 7.49
v2 v3 12.13
v2 v4 2.05
v2 v5 1.79
v2 v6 9.53
v2 v7 9.61
v2 v8 10.74
v2 v9 2.42
v2 v10 2.9
v2 v11 6.42
v2 v12 11.12
v3 v4 5.81
v3 v5 17.9
v3 v6 19.61
v3 v7 13.55
v3 v8 2.18
v3 v9 5.09
v3 v10 13.37
v3 v11 19.32
v3 v12 9.83
v4 v5 13.54
v4 v6 13.34
v4 v7 13.13
v4 v8 2.95
v4 v9 4.34
v4 v10 18.76
v4 v11 4.92
v4 v12 13.65
v5 v6 7.96
v5 v7 4.07
v5 v8 9.75
v5 v9 15.34
v5 v10 12.85
v5 v11 5.3
v5 v12 12.79
v6 v7 16.66
v6 v8 11.03
v6 v9 13.79
v6 v10 14.15
v6 v11 8.91
v6 v12 18.86
v7 v8 3.22
v7 v9 13.7
v7 v10 9.15
v7 v11 18.18
v7 v12 4.24
v8 v9 9.96
v8 v10 5.02
v8 v11 10.95
v8 v12 15.21
v9 v10 12.68
v9 v11 4.62
v9 v12 3.78
v10 v11 14.86
v10 v12 6.35
v11 v12 17.63
